City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
421,nar'yan-mar,67.6713,53.087,265.69,95,100,5.29,RU,1736446807
422,sena madureira,-9.0656,-68.6569,296.68,99,100,0.74,BR,1736446808
423,sydney,-33.8679,151.2073,293.55,88,75,2.57,AU,1736446668
424,brookings,44.3114,-96.7984,272.69,87,100,9.77,US,1736446552
425,el salto,20.3333,-104.5,289.56,62,99,2.37,MX,1736446811
426,zamora,-4.0692,-78.9567,301.93,58,100,0.4,EC,1736446812
427,kolonia,50.9333,6.95,274.51,92,75,4.12,DE,1736446798
428,leava,-14.3,-178.1667,299.61,91,100,16.3,WF,1736446814
429,staraya russa,57.9944,31.3608,272.17,91,100,3.59,RU,1736446772
430,katsuren-haebaru,26.3369,127.8719,288.16,56,100,6.69,JP,1736446817
431,amahai,-3.3333,128.9167,299.45,83,100,1.7,ID,1736446818
432,vorkuta,67.5,64.0,258.61,84,100,6.64,RU,1736446528
433,santa sylvina,-27.8326,-61.1375,311.3,13,21,4.61,AR,1736446820
434,pontes e lacerda,-15.2261,-59.3353,300.81,80,100,3.18,BR,1736446598
435,shingu,33.7333,135.9833,272.74,77,9,4.62,JP,1736446822
436,glace bay,46.1969,-59.957,275.36,85,75,4.63,CA,1736446823
437,san julian,21.0167,-102.1667,292.01,46,97,9.44,MX,1736446825
438,castillos,-34.1667,-53.8333,299.89,43,73,6.02,UY,1736446826
439,kokopo,-4.352,152.2633,299.49,84,77,3.23,PG,1736446827
440,tughyl,47.7252,84.2063,262.85,90,100,1.02,KZ,1736446829
441,aguada de pasajeros,22.385,-80.8508,295.81,51,41,5.22,CU,1736446544
442,vikulovo,56.8167,70.6107,270.29,95,100,6.82,RU,1736446832
443,bikin,46.8161,134.26,260.38,91,100,3.53,RU,1736446833
444,sabang,5.8933,95.3214,302.02,67,61,7.55,ID,1736446834
445,lienz,46.8289,12.769,278.29,100,100,2.15,AT,1736446835
446,klaksvik,62.2266,-6.589,275.04,59,100,6.81,FO,1736446836
447,muisne,0.6,-80.0333,299.11,82,100,4.77,EC,1736446838
448,saint-louis,16.3333,-15.0,305.51,11,0,4.47,SN,1736446839
449,novaya igirma,57.1334,103.9112,262.54,97,100,1.45,RU,1736446840
450,vilyuchinsk,52.9306,158.4028,259.3,78,6,4.12,RU,1736446841
451,mineros,-17.1167,-63.2333,304.42,55,95,3.69,BO,1736446664
452,jindabyne,-36.4167,148.6333,287.36,92,100,0.45,AU,1736446843
453,dhuusamarreeb,5.535,46.3861,299.22,49,69,7.56,SO,1736446844
454,feijo,-8.1642,-70.3536,299.38,79,100,2.19,BR,1736446845
455,ornskoldsvik,63.2909,18.7153,267.68,93,100,3.09,SE,1736446847
456,trinity beach,-16.7888,145.6968,297.09,94,40,0.0,AU,1736446848
457,buka,40.8108,69.1986,272.86,40,0,1.2,UZ,1736446849
458,saint-joseph,-21.3667,55.6167,299.36,82,17,5.18,RE,1736446850
459,homer,59.6425,-151.5483,274.13,87,100,6.17,US,1736446852
460,kitui,-1.367,38.0106,293.54,76,85,1.49,KE,1736446853
461,palmerston,-12.486,130.9833,299.2,90,20,0.51,AU,1736446854
462,dombarovskiy,50.7587,59.5386,266.54,73,56,7.63,RU,1736446855
463,yarmouth,41.7057,-70.2286,271.53,67,100,12.52,US,1736446856
464,hobyo,5.3505,48.5268,297.97,75,25,7.88,SO,1736446858
465,neiafu,-18.65,-173.9833,298.53,88,100,2.06,TO,1736446859
466,kenai,60.5544,-151.2583,275.45,96,100,10.8,US,1736446860
467,conduaga,8.862,117.4893,298.54,87,61,0.84,PH,1736446861
468,sorgun,39.8101,35.186,278.17,65,4,1.57,TR,1736446862
469,santa ana de yacuma,-13.75,-65.4333,297.12,100,100,3.09,BO,1736446863
470,anupgarh,29.1911,73.2086,289.0,20,2,3.45,IN,1736446864
471,mugia,43.1041,-9.2179,288.1,93,97,8.97,ES,1736446865
472,bikenibeu village,1.3673,173.1241,300.13,89,20,2.57,KI,1736446867
473,port hedland,-20.3167,118.5667,304.18,74,80,3.6,AU,1736446868
474,musafir-khana,26.3667,81.8,284.77,54,2,1.57,IN,1736446869
475,saudarkrokur,65.7461,-19.6394,264.55,81,74,7.61,IS,1736446870
476,altay,47.8667,88.1167,257.89,84,98,2.35,CN,1736446623
477,hasaki,35.7333,140.8333,277.66,31,98,11.87,JP,1736446873
478,celestun,20.8667,-90.4,298.85,51,38,2.83,MX,1736446875
479,kiunga,-6.1219,141.2906,296.12,99,99,0.28,PG,1736446876
480,mahdia,35.5047,11.0622,289.71,45,58,2.32,TN,1736446878
481,awjilah,29.1081,21.2869,287.17,54,0,3.71,LY,1736446879
482,qacha's nek,-30.1154,28.6894,292.88,45,48,1.19,LS,1736446881
483,kawm umbu,24.4767,32.9463,292.93,32,100,3.16,EG,1736446882
484,naracoorte,-36.9579,140.7383,292.08,62,73,1.4,AU,1736446883
485,black river,18.0264,-77.8487,301.07,58,86,3.4,JM,1736446884
486,pimentel,-6.8367,-79.9342,300.31,57,0,9.77,PE,1736446885
487,jardim de piranhas,-6.3786,-37.3519,310.02,27,55,7.36,BR,1736446886
488,wynyard,-41.0,145.7167,288.81,88,100,4.47,AU,1736446895
489,lerwick,60.1545,-1.1494,277.28,58,84,10.21,GB,1736446896
490,broken hill,-31.95,141.4333,296.68,43,1,4.73,AU,1736446897
491,lilongwe,-13.9669,33.7873,292.37,97,100,3.24,MW,1736446898
492,galveston,29.3669,-94.9669,283.12,86,100,9.33,US,1736446901
493,sao vicente,-23.9631,-46.3919,298.12,26,71,2.24,BR,1736446902
494,hood river,45.7054,-121.5215,276.37,92,100,3.09,US,1736446903
495,rikaze,29.25,88.8833,270.54,15,1,1.58,CN,1736446904
496,coruripe,-10.1256,-36.1756,302.47,58,54,7.7,BR,1736446905
497,tonya,40.8862,39.2924,278.2,77,2,2.58,TR,1736446906
498,saint-pierre,-21.3393,55.4781,299.97,69,0,6.17,RE,1736446907
499,alice springs,-23.7,133.8833,296.9,46,98,0.0,AU,1736446786
500,balykshi,47.0667,51.8667,270.15,86,65,5.0,KZ,1736446910
501,pembroke,45.8168,-77.1162,265.47,65,76,5.66,CA,1736446911
502,harper,4.375,-7.7169,300.77,73,93,4.71,LR,1736446912
503,rio grande,-32.035,-52.0986,297.47,56,9,6.42,BR,1736446914
504,hilo,19.7297,-155.09,295.65,99,100,3.09,US,1736446915
505,ust'-barguzin,53.45,108.9833,251.52,97,57,1.87,RU,1736446916
506,shiprock,36.7855,-108.687,274.99,43,58,3.89,US,1736446918
507,trincomalee,8.5711,81.2335,299.04,85,49,7.35,LK,1736446919
508,volnovakha,47.601,37.4967,279.23,91,86,2.56,UA,1736446920
509,coahuayana de hidalgo,18.7,-103.6583,302.5,48,86,1.76,MX,1736446921
510,oppdal,62.5943,9.6912,260.96,87,50,3.72,NO,1736446922
511,odda,60.0691,6.5457,265.08,85,48,3.16,NO,1736446923
512,sv. ana v slov. goricah,46.6492,15.8442,284.73,83,100,5.26,SI,1736446924
513,jinka,5.65,36.65,294.16,43,66,0.76,ET,1736446925
514,cockburn town,21.4612,-71.1419,297.06,69,81,6.8,TC,1736446705
515,nuku'alofa,-21.1333,-175.2,297.34,78,75,5.14,TO,1736446928
516,paka,4.6374,103.4368,298.14,83,100,1.03,MY,1736446929
517,tsiombe,-25.3,45.4833,298.59,83,64,1.72,MG,1736446930
518,galesong,-5.3166,119.3661,299.9,80,80,2.32,ID,1736446931
519,karamay,45.6004,84.8661,263.75,81,13,0.66,CN,1736446932
520,otjimbingwe,-22.35,16.1333,299.07,31,86,6.91,NA,1736446933
521,qinhuangdao,39.9317,119.5883,267.14,31,0,2.05,CN,1736446935
522,guerrero negro,27.9769,-114.0611,290.57,41,0,4.25,MX,1736446760
523,sibut,5.718,19.0739,301.35,19,76,1.46,CF,1736446937
524,ashland,40.8167,-82.2665,267.74,88,12,4.17,US,1736446941
525,ishigaki,24.3448,124.1572,287.22,82,100,5.66,JP,1736446942
526,kayangel,8.0823,134.7173,301.85,74,54,9.9,PW,1736446943
527,mwanza,-2.5167,32.9,296.39,59,45,1.36,TZ,1736446945
528,gillette,44.2911,-105.5022,270.99,80,0,5.81,US,1736446946
529,carsamba,41.1989,36.7219,280.01,81,0,0.0,TR,1736446947
530,korla,41.7597,86.1469,266.25,86,73,0.52,CN,1736446948
531,um jar al gharbiyya,13.8013,32.4078,298.6,19,0,4.76,SD,1736446950
532,pionerskiy,54.9508,20.2275,274.06,99,100,4.9,RU,1736446951
533,lompoc,34.6391,-120.4579,290.45,21,0,0.0,US,1736446738
